Region,Supplier,Shipping_Mode,Number_of_Orders,Total_Sales,Average_Distance,Average_Transport_Cost,Average_Lead_Time_Days,Average_Route_Efficiency,Delay_Rate,Average_Traffic_Index,Average_Fuel_Price,Bottleneck_Status,Risk_Score,Network_Risk_Level
West,Warehouse_W,Same Day,35441,342786642.42,1157.5793290257047,7651.495101332046,4.750786131007822,1.318604404032415,0.23721113964052934,0.20682293830166779,3.3926859851584323,Moderate Bottleneck,0.5896243618386807,High Risk
South,Warehouse_S,Same Day,7156,62716885.12,910.176076020123,5559.794542503869,3.6592989828918765,1.643313289930441,0.11249301285634433,0.17286489293712806,3.2258194522079373,Moderate Bottleneck,0.4427773117864756,Medium Risk
West,Warehouse_W,Second Class,9637,112395341.42,1105.8254643561274,5555.268873999193,5.563640905866042,2.1789823908411248,0.29459375324271037,0.21344634948051067,3.4190654768081354,Critical Bottleneck,0.5623581281036542,High Risk
West,Warehouse_W,Standard Class,36205,580070002.12,975.163679049855,3852.749077160745,5.469067706023868,4.290253450347582,0.19442066012981632,0.18947099660814934,3.2869563043778482,Normal Route,0.4654788804106409,Medium Risk
South,Warehouse_S,Second Class,28787,309723405.56,751.8645569180533,3787.902631562229,4.150358220795502,2.9730790406113092,0.3063883002744294,0.21429999770776276,3.426056588043214,Moderate Bottleneck,0.470422289794298,High Risk
South,Warehouse_S,Standard Class,77475,1322395149.15,743.1280283962568,3115.8028286159565,4.626546690546001,5.751687353385357,0.31466924814456276,0.2180115256536578,3.4265534688609227,Moderate Bottleneck,0.46454203070500255,Medium Risk
Central,Warehouse_C,Second Class,78092,1044514357.85,485.1795062234288,2421.3835935543448,3.0785505213762545,5.724863018318528,0.19569226041079751,0.21261083216084642,3.410233301746658,Normal Route,0.3628683489631956,Low Risk
Central,Warehouse_C,Standard Class,40876,1083550269.7,450.1561307368627,1911.1039384976289,3.469093711684911,14.983737755469118,0.24635482923965163,0.22282306291248674,3.423513137293277,Normal Route,0.3743539172564506,Low Risk
East,Warehouse_E,Second Class,46979,534067631.99,229.18910577066347,1105.3119984800405,1.9863590553887518,9.776487978094323,0.11268864811937249,0.1898675441020327,3.3022902147768147,Normal Route,0.25782162728294955,Low Risk
East,Warehouse_E,Standard Class,60922,1344999301.78,193.52037030957618,741.0936083904418,2.3123537644456706,39.279435525035716,0.10319753126949213,0.17942409440245527,3.219561783920423,Normal Route,0.24736009856775168,Low Risk
