Dept,Total_Sales,Average_Weekly_Sales,Sales_Std,Number_of_Records,Store_Coverage,Average_MarkDown,Holiday_Sales,Demand_Volatility,Average_Weekly_Demand,Cumulative_Sales,Cumulative_Percentage,ABC_Category,Cluster,Stock_Status,Lead_Time_Weeks,Safety_Stock,Reorder_Point,Reorder_Recommendation
92,483943341.87,75204.87053146854,49413.73257032458,6435,45,6267.753417249418,450,0.6570549516423677,75204.87053146854,483943341.87,7.183132132054869,A,2,Normal Stock,2,24706.86628516229,175116.60734809935,Monitor weekly and maintain safety stock
95,449320162.52,69824.42308003108,38200.536452103974,6435,45,6267.753417249418,450,0.5470941937940459,69824.42308003108,933263504.39,13.852355195453326,A,2,Normal Stock,2,19100.268226051987,158749.11438611415,Monitor weekly and maintain safety stock
38,393118136.92,61090.61956798757,23966.913901146378,6435,45,6267.753417249418,450,0.3923174142058532,61090.61956798757,1326381641.31,19.687376109455588,A,2,Normal Stock,2,11983.456950573189,134164.69608654833,Monitor weekly and maintain safety stock
72,305725152.21,50566.5154168045,44710.98265154102,6046,45,6629.312360238174,425,0.8842013787780689,50566.5154168045,1632106793.52,24.225229974602755,A,2,Understock Risk,2,22355.49132577051,123488.5221593795,Increase reorder quantity
90,291068463.68,45232.08448795649,32462.020077487774,6435,45,6267.753417249418,450,0.7176768536088829,45232.08448795649,1923175257.2,28.54553578976013,A,2,Normal Stock,2,16231.010038743887,106695.17901465687,Monitor weekly and maintain safety stock
40,288936022.05,44900.70272727273,21903.876911006904,6435,45,6267.753417249418,450,0.4878292672622798,44900.70272727273,2212111279.25,32.83418994517363,A,2,Normal Stock,2,10951.938455503452,100753.3439100489,Monitor weekly and maintain safety stock
2,280611174.43,43607.020113442115,25176.756920207954,6435,45,6267.753417249418,450,0.5773555921663878,43607.020113442115,2492722453.68,36.99927905637633,A,2,Normal Stock,2,12588.378460103977,99802.41868698821,Monitor weekly and maintain safety stock
91,216781705.73,33687.91075835276,26247.462296176553,6435,45,6267.753417249418,450,0.7791359483362624,33687.91075835276,2709504159.41,40.21695249321663,A,2,Understock Risk,2,13123.731148088276,80499.5526647938,Increase reorder quantity
13,197321569.95,30663.802634032632,16237.526431647262,6435,45,6267.753417249418,450,0.5295340119892966,30663.802634032632,2906825729.3599997,43.145780698556635,A,2,Normal Stock,2,8118.763215823631,69446.3684838889,Monitor weekly and maintain safety stock
8,194280780.73,30191.263516705516,18189.717268016553,6435,45,6267.753417249418,450,0.6024828095701185,30191.263516705516,3101106510.0899997,46.029474713872276,A,2,Normal Stock,2,9094.858634008277,69477.38566741931,Monitor weekly and maintain safety stock
94,189912450.33,33405.88396306069,25405.56019024002,5685,45,6665.508420404573,406,0.7605115379773453,33405.88396306069,3291018960.4199996,48.8483299521145,A,2,Understock Risk,2,12702.78009512001,79514.54802124138,Increase reorder quantity
4,167146745.58,25974.63023776224,13261.14070605041,6435,45,6267.753417249418,450,0.5105420398543806,25974.63023776224,3458165705.9999995,51.329275664281404,A,1,Normal Stock,2,6630.570353025205,58579.83082854969,Monitor weekly and maintain safety stock
93,159698663.19,27008.060745814306,22593.647748832132,5913,43,6609.366242178252,413,0.8365520190979904,27008.060745814306,3617864369.1899996,53.69967008808659,A,1,Understock Risk,2,11296.823874416066,65312.945366044674,Increase reorder quantity
7,155477562.75,24161.237412587412,27985.082741408438,6435,45,6267.753417249418,450,1.1582636378892124,24161.237412587412,3773341931.9399996,56.00741105728275,A,1,Understock Risk,2,13992.541370704219,62315.01619587904,Increase reorder quantity
79,141396544.14,21973.04493240093,13730.02012218252,6435,45,6267.753417249418,450,0.6248574180056655,21973.04493240093,3914738476.0799994,58.1061485988489,A,1,Normal Stock,2,6865.01006109126,50811.099925893126,Monitor weekly and maintain safety stock
23,138180330.78,23931.473983373744,16035.204669964176,5774,45,6928.277076550053,401,0.6700466791600277,23931.473983373744,4052918806.8599997,60.15714814397833,A,1,Normal Stock,2,8017.602334982088,55880.55030172958,Monitor weekly and maintain safety stock
5,135607358.57,21365.583515046477,19988.452259296788,6347,45,6354.654677800536,443,0.9355444116571935,21365.583515046477,4188526165.43,62.16995726936748,A,1,Understock Risk,2,9994.226129648394,52725.39315974135,Increase reorder quantity
9,128393256.65,20206.681877557447,16695.725038745677,6354,45,6339.03352533837,439,0.826247730325719,20206.681877557447,4316919422.08,64.07568805970766,A,1,Understock Risk,2,8347.862519372839,48761.22627448773,Increase reorder quantity
46,128344411.44,19944.741482517482,12811.74379889308,6435,45,6267.753417249418,450,0.6423619885032446,19944.741482517482,4445263833.5199995,65.98069384452117,A,1,Normal Stock,2,6405.87189944654,46295.3548644815,Monitor weekly and maintain safety stock
1,123638776.54,19213.485087801088,15102.373853156698,6435,45,6267.753417249418,450,0.7860299047331818,19213.485087801088,4568902610.059999,67.81585426867468,A,1,Understock Risk,2,7551.186926578349,45978.15710218052,Increase reorder quantity
10,117897387.58,18321.272351204352,12992.485736946968,6435,45,6267.753417249418,450,0.7091475683506722,18321.272351204352,4686799997.639999,69.56579571789236,A,1,Normal Stock,2,6496.242868473484,43138.78757088219,Monitor weekly and maintain safety stock
81,99552029.31,15470.400825174826,9646.502305634453,6435,45,6267.753417249418,450,0.6235457254563694,15470.400825174826,4786352026.95,71.04343848860336,A,1,Normal Stock,2,4823.251152817226,35764.05280316688,Monitor weekly and maintain safety stock
82,99547080.33,15469.631752913752,10502.399054470274,6435,45,6267.753417249418,450,0.6789042701350738,15469.631752913752,4885899107.28,72.52100780200195,A,1,Normal Stock,2,5251.199527235137,36190.46303306264,Monitor weekly and maintain safety stock
14,95694666.45,14870.966037296037,11596.030222452266,6435,45,6267.753417249418,450,0.7797765251678802,14870.966037296037,4981593773.73,73.94139604577266,A,1,Understock Risk,2,5798.015111226133,35539.94718581821,Increase reorder quantity
11,93329276.38,14505.63823127137,10315.627264295228,6434,45,6268.727578489276,450,0.7111460454085169,14505.63823127137,5074923050.11,75.32667499482513,A,1,Normal Stock,2,5157.813632147614,34169.09009469036,Monitor weekly and maintain safety stock
16,91670682.27,14245.63827039627,16043.051117346175,6435,45,6267.753417249418,450,1.1261728546544028,14245.63827039627,5166593732.38,76.68733556479309,A,1,Understock Risk,2,8021.525558673087,36512.802099465625,Increase reorder quantity
97,89496511.9,14255.576919401085,10856.679935676377,6278,45,6346.40881650207,438,0.7615742243936133,14255.576919401085,5256090244.28,78.0157250986828,A,1,Understock Risk,2,5428.339967838188,33939.493806640356,Increase reorder quantity
74,88781985.57,13807.462763608086,10299.604773449642,6430,45,6272.627253499223,450,0.7459447799921649,13807.462763608086,5344872229.849999,79.33350897567807,A,1,Normal Stock,2,5149.802386724821,32764.727913940995,Monitor weekly and maintain safety stock
87,85760075.61,13418.882117039588,11645.36069647194,6391,45,6310.343365670475,448,0.8678338921902002,13418.882117039588,5430632305.459999,80.60643888598796,B,1,Normal Stock,3,5822.68034823597,46079.32669935473,Monitor bi-weekly
34,83223625.43,15625.91540180248,8959.16083406594,5326,43,7424.782765677806,371,0.5733527031019561,15625.91540180248,5513855930.889999,81.84172047011381,B,1,Normal Stock,3,4479.58041703297,51357.326622440414,Monitor bi-weekly
3,75892449.95,11793.698515928516,12790.99437123926,6435,45,6267.753417249418,450,1.0845617559210794,11793.698515928516,5589748380.839999,82.96818600574804,B,1,Normal Stock,3,6395.49718561963,41776.592733405174,Monitor bi-weekly
96,73833916.16,15210.942760609805,11255.543496402972,4854,45,6240.873578491965,339,0.7399635692240116,15210.942760609805,5663582296.999999,84.06409688976802,B,1,Normal Stock,3,5627.771748201486,51260.6000300309,Monitor bi-weekly
80,71774060.2,12183.680224070617,10519.18998506865,5891,45,6655.3310286878295,413,0.8633836239633468,12183.680224070617,5735356357.199999,85.12943349731073,B,1,Overstock Risk,3,5259.594992534325,41810.63566474617,Reduce reorder quantity
17,65319816.63,10187.120497504678,7430.506870405548,6412,45,6282.921554897068,449,0.7294020790492899,10187.120497504678,5800676173.829999,86.09897028622872,B,1,Normal Stock,3,3715.253435202774,34276.61492771681,Monitor bi-weekly
55,59970455.35,10716.66464438885,9188.797532394372,5596,45,7099.605791636883,391,0.8574307246989897,10716.66464438885,5860646629.179999,86.98910693556043,B,1,Overstock Risk,3,4594.398766197186,36744.392699363736,Reduce reorder quantity
22,59723107.36,10774.509716759878,6675.714287559439,5543,45,7206.422197366048,397,0.6195840426200819,10774.509716759878,5920369736.539999,87.87557221855427,B,1,Overstock Risk,3,3337.8571437797195,35661.38629405935,Reduce reorder quantity
25,57111218.62,8988.23081838212,6367.82895341197,6354,45,6329.171981429022,444,0.7084629981229363,8988.23081838212,5977480955.159999,88.7232694468805,B,1,Normal Stock,3,3183.914476705985,30148.606931852344,Monitor bi-weekly
67,47880777.68,7440.680292152292,5817.253170238896,6435,45,6267.753417249418,450,0.7818173798401701,7440.680292152292,6025361732.839999,89.43395998212372,B,1,Normal Stock,3,2908.626585119448,25230.667461576326,Monitor bi-weekly
26,43900009.6,7649.417947377592,5179.650251511623,5739,45,6948.6693831678,402,0.6771299838947006,7649.417947377592,6069261742.44,90.08556429666348,B,1,Overstock Risk,3,2589.8251257558113,25538.07896788859,Reduce reorder quantity
32,40698960.81,6833.270787441236,5906.111943270666,5956,45,6724.683776024177,407,0.8643169760117541,6833.270787441236,6109960703.25,90.68965570126036,B,1,Overstock Risk,3,2953.055971635333,23452.868333959043,Reduce reorder quantity
98,39828919.37,6824.694888622344,5636.056532637397,5836,45,6673.407883824537,420,0.8258327477809211,6824.694888622344,6149789622.62,91.28083315068278,B,1,Overstock Risk,3,2818.0282663186986,23292.11293218573,Reduce reorder quantity
18,36897489.06,7336.943539471068,13837.756895409973,5029,45,7109.917776894014,431,1.8860383511152874,7336.943539471068,6186687111.68,91.82849961559351,B,1,Overstock Risk,3,6918.878447704987,28929.709066118194,Reduce reorder quantity
49,36572901.71,8159.951296296296,6683.465461603139,4482,45,8544.313652387327,314,0.8190570285188692,8159.951296296296,6223260013.39,92.37134825655313,B,1,Overstock Risk,3,3341.7327308015697,27821.586619690457,Reduce reorder quantity
33,34883969.93,6471.979578849721,4290.392670527347,5390,45,7354.186142857144,375,0.6629181409268117,6471.979578849721,6258143983.320001,92.88912821883048,B,1,Overstock Risk,3,2145.1963352636735,21561.135071812838,Reduce reorder quantity
24,34347586.26,6353.604561598224,4475.810690085912,5406,45,7336.849426563078,376,0.7044521966535544,6353.604561598224,6292491569.580001,93.39894668139962,B,1,Overstock Risk,3,2237.905345042956,21298.71902983763,Reduce reorder quantity
20,33349645.11,5528.787319297082,3860.051044195773,6032,45,6653.135396220159,413,0.6981731836062979,5528.787319297082,6325841214.690001,93.89395278367722,B,1,Overstock Risk,3,1930.0255220978866,18516.387479989135,Reduce reorder quantity
42,33219291.57,5189.703416653648,3270.083119305956,6401,45,6299.33745977191,448,0.6301098264714567,5189.703416653648,6359060506.26,94.38702405883626,B,1,Normal Stock,3,1635.041559652978,17204.151809613923,Monitor bi-weekly
21,32064645.08,4982.850828282828,3258.083805838205,6435,45,6267.753417249418,450,0.6538593905611648,4982.850828282828,6391125151.34,94.86295700893551,B,1,Normal Stock,3,1629.0419029191025,16577.594387767585,Monitor bi-weekly
71,30383022.89,5722.927649274817,3954.284421278739,5309,43,7452.113433791675,370,0.6909548160686266,5722.927649274817,6421508174.2300005,95.31392977600945,C,1,Overstock Risk,4,1977.1422106393695,24868.852807738636,Reduce reorder quantity
29,30009602.42,5653.655316503391,3702.536936929343,5308,40,7451.028935568953,370,0.6548925835859492,5653.655316503391,6451517776.650001,95.75935989305648,C,1,Overstock Risk,4,1851.2684684646715,24465.889734478234,Reduce reorder quantity
6,28420667.14,4747.8561877714665,4446.426659088378,5986,45,6674.303013698631,422,0.9365124981124223,4747.8561877714665,6479938443.790001,96.18120557143472,C,1,Overstock Risk,4,2223.213329544189,21214.638080630055,Reduce reorder quantity
12,26760119.51,4175.39702137619,2846.7462339558297,6409,45,6293.180408800125,448,0.681790550546869,4175.39702137619,6506698563.300001,96.57840387478805,C,1,Normal Stock,4,1423.3731169779148,18124.96120248268,"Low priority, avoid excess stock"
