Store,Dept,Date,Region,Warehouse,Shipping_Mode,Order_Priority,Distance_km,Traffic_Index,Weekly_Sales,Actual_Delivery_Delay,Logistic_Delay_Probability,Decision_Tree_Delay_Probability,Random_Forest_Delay_Probability,Predicted_Delivery_Delay,Delay_Risk_Level
8,92,2010-11-19,East,Warehouse_E,Standard Class,Critical,244,0.101945944399922,68355.89,0,1.2538399670225852e-07,0.0,0.0,0,Low Risk
23,3,2010-08-20,Central,Warehouse_C,Second Class,Critical,594,0.10207650721374581,59840.16,0,1.4781423076508178e-07,0.0,0.0,0,Low Risk
16,38,2012-07-06,Central,Warehouse_C,Second Class,Critical,458,0.2665370785674653,49578.07,0,0.14551065985952918,0.0,0.0,0,Low Risk
22,35,2011-02-11,Central,Warehouse_C,Second Class,Medium,581,0.3615898206493201,3171.7,1,0.8989238001442952,1.0,1.0,1,High Risk
12,32,2010-06-04,Central,Warehouse_C,Second Class,High,336,0.10150136358495822,8123.58,0,5.75997935862682e-08,0.0,0.0,0,Low Risk
26,1,2012-01-13,South,Warehouse_S,Standard Class,High,653,0.22041985392137423,12111.8,0,0.01944651672076897,0.0,0.0,0,Low Risk
23,87,2012-03-02,Central,Warehouse_C,Second Class,Critical,614,0.2985458478573636,42136.84,1,0.7976271632202414,1.0,1.0,1,High Risk
39,44,2010-12-17,West,Warehouse_W,Standard Class,High,967,0.08733905667692529,8588.77,0,1.8604337974900582e-07,0.0,0.0,0,Low Risk
39,38,2011-07-29,West,Warehouse_W,Standard Class,Critical,987,0.26969963605016983,42506.66,0,0.6557855146601338,0.0,0.0,0,Low Risk
6,44,2011-07-08,East,Warehouse_E,Standard Class,Medium,208,0.20878371768886284,6843.15,0,6.953020795510101e-05,0.0,0.0,0,Low Risk
25,49,2010-11-26,South,Warehouse_S,Second Class,Medium,670,0.32067512510074697,7311.15,1,0.5987832591666247,1.0,1.0,1,High Risk
21,60,2011-03-25,Central,Warehouse_C,Second Class,Low,533,0.20358589073148692,220.0,0,7.418700855563766e-05,0.0,0.0,0,Low Risk
35,8,2010-11-05,South,Warehouse_S,Second Class,High,895,0.10283427961028672,18843.66,0,1.2047540306477047e-06,0.0,0.0,0,Low Risk
37,16,2011-03-25,West,Warehouse_W,Same Day,Low,1081,0.20464438146969294,2067.3,0,0.0005143540856286911,0.0,0.0,0,Low Risk
34,16,2011-02-18,South,Warehouse_S,Standard Class,High,862,0.12524260409056315,8637.28,0,8.224676947536775e-06,0.0,0.0,0,Low Risk
5,4,2011-11-11,East,Warehouse_E,Second Class,High,185,0.17349809229090538,9265.03,0,3.8124862928638034e-05,0.0,0.0,0,Low Risk
10,48,2012-05-25,East,Warehouse_E,Second Class,Medium,320,0.33667354670713073,3755.0,0,0.850693391903956,0.0,0.0,0,Low Risk
8,98,2011-03-04,East,Warehouse_E,Standard Class,Medium,274,0.17018987885402578,6639.16,0,2.834445878146035e-06,0.0,0.0,0,Low Risk
24,13,2010-02-19,South,Warehouse_S,Standard Class,Critical,617,0.10748831028337126,29763.92,0,1.1778173091580762e-06,0.0,0.0,0,Low Risk
5,10,2011-07-01,East,Warehouse_E,Second Class,High,165,0.21892348942838644,9150.57,0,0.0018883102834209777,0.0,0.0,0,Low Risk
43,46,2010-04-09,West,Warehouse_W,Same Day,High,1219,0.0683765614795811,10119.65,0,4.573677926073446e-08,0.0,0.0,0,Low Risk
41,17,2010-02-12,West,Warehouse_W,Standard Class,High,1028,0.22939468472825283,11336.91,0,0.008655075379857114,0.0,0.0,0,Low Risk
